frame,time_s,ip_src,ip_dst,udp_src,udp_dst,tju_src,tju_dst,seq,ack,hlen,plen,flags,window,ext,captured_tju_bytes
1,0.000000000,172.17.0.2,172.17.0.3,20218,20218,5678,1234,1890491932,0,20,20,0x08,65535,0,20
2,0.020514000,172.17.0.3,172.17.0.2,20218,20218,1234,5678,6878657,1890491933,20,20,0x0c,65535,0,20
3,0.042890000,172.17.0.2,172.17.0.3,20218,20218,5678,1234,1890491933,6878658,20,20,0x04,65535,0,20
4,0.042890000,172.17.0.2,172.17.0.3,20218,20218,5678,1234,1890491933,6878658,20,20,0x06,65535,0,20
5,0.064144000,172.17.0.3,172.17.0.2,20218,20218,1234,5678,6878658,1890491934,20,20,0x04,65535,0,20
6,0.064150000,172.17.0.3,172.17.0.2,20218,20218,1234,5678,6878658,1890491934,20,20,0x06,65535,0,20
7,0.086115000,172.17.0.2,172.17.0.3,20218,20218,5678,1234,1890491934,6878659,20,20,0x04,65535,0,20
